"","scenario","year","flow_mm_yr_fire","flow_mm_yr_nofire","sed_kg_yr_fire","sed_kg_yr_nofire","nit_kg_yr_fire","nit_kg_yr_nofire","doc_kg_yr_fire","doc_kg_yr_nofire","percent","severity"
"1","100_HIGH",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"100","HIGH"
"2","100_HIGH",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"100","HIGH"
"3","100_HIGH",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"100","HIGH"
"4","100_HIGH",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"100","HIGH"
"5","100_HIGH",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"100","HIGH"
"6","100_HIGH",2019,701.944103143277,585.109201030757,91274190.8979974,58305613.8648557,164849.60686,30424.90998,866473.13270482,124842.54965,"100","HIGH"
"7","100_LOW",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"100","LOW"
"8","100_LOW",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"100","LOW"
"9","100_LOW",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"100","LOW"
"10","100_LOW",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"100","LOW"
"11","100_LOW",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"100","LOW"
"12","100_LOW",2019,592.248601228868,585.109201030757,65422024.241112,58305613.8648557,50082.69501,30424.90998,828937.962007707,124842.54965,"100","LOW"
"13","100_MOD",2014,407.197919054572,407.197919054572,33361515.801447,33361515.801447,46581.08625,46581.08625,188297.129881,188297.129881,"100","MOD"
"14","100_MOD",2015,813.892630886363,813.892630886363,92609415.5553078,92609415.5553078,63935.6319,63935.6319,462910.27242,462910.27242,"100","MOD"
"15","100_MOD",2016,792.380451357471,792.380451357471,82116192.5413056,82116192.5413056,54891.7286,54891.7286,412549.20935,412549.20935,"100","MOD"
"16","100_MOD",2017,598.505537510405,598.505537510405,59510298.665952,59510298.665952,35794.81803,35794.81803,121080.95676,121080.95676,"100","MOD"
"17","100_MOD",2018,484.832234942024,484.832234942024,44123942.8807142,44123942.8807142,37859.79448,37859.79448,192697.046956,192697.046956,"100","MOD"
